STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,CLUSTER,CLUSTER NAME
TAMIL NADU,PUDUKOTTAI,2002,34,19,1,10,0,10,25,23,2,3,0,6,70,234,64,170,169,11,14,1,22,289,4,49,6,32,0,155,2237,3391,1,Moderate Areas
DELHI UT,NORTH,2003,32,23,12,34,0,34,63,44,19,1,10,35,81,923,337,586,7,45,147,6,9,155,4,16,8,55,0,0,1725,3391,1,Moderate Areas
UTTAR PRADESH,SITAPUR,2011,102,68,26,66,0,66,232,202,30,5,0,40,89,347,113,234,49,51,100,3,24,235,60,131,0,138,0,284,1344,3394,1,Moderate Areas
RAJASTHAN,JAIPUR NORTH,2011,17,18,2,20,0,20,43,38,5,2,3,32,82,651,432,219,31,29,765,2,5,290,8,23,0,241,0,91,1041,3396,1,Moderate Areas
CHANDIGARH,CHANDIGARH,2001,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397,1,Moderate Areas
MADHYA PRADESH,DAMOH,2010,49,65,0,41,0,41,22,19,3,2,1,30,153,156,80,76,23,4,28,1,11,1382,25,203,0,84,0,80,1039,3399,1,Moderate Areas
TAMIL NADU,RAMNATHAPURAM,2009,31,97,2,10,0,10,56,52,4,2,0,20,92,216,39,177,53,0,60,12,25,436,1,22,2,23,0,188,2053,3401,1,Moderate Areas
BIHAR,NALANDA,2004,220,139,15,43,0,43,144,32,112,30,4,65,72,388,13,375,191,23,78,0,32,605,68,43,0,110,3,129,1001,3403,1,Moderate Areas
MADHYA PRADESH,SIHORE,2008,28,47,1,57,0,57,20,18,2,7,4,18,136,332,92,240,41,4,26,0,21,389,8,89,16,57,0,146,1956,3403,1,Moderate Areas
GUJARAT,AHMEDABAD RURAL,2008,36,20,0,3,0,3,36,35,1,14,1,37,114,354,124,230,61,45,9,3,9,236,1,16,0,67,0,321,2021,3404,1,Moderate Areas
