STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,CLUSTER,CLUSTER NAME
WEST BENGAL,24 PARGANAS NORTH,2012,140,108,80,118,0,118,497,338,159,34,40,61,6,1453,381,1072,680,94,141,9,19,79,74,196,1,1860,3,10,6062,11765,2,Sensitive Areas
MAHARASHTRA,PUNE COMMR.,2005,106,85,7,79,0,79,102,72,30,27,18,190,1201,4322,2165,2157,474,72,609,22,16,1258,1,107,95,201,0,407,2418,11817,2,Sensitive Areas
UTTAR PRADESH,GHAZIABAD,2009,254,277,31,53,0,53,491,321,170,53,11,195,394,4377,3378,999,349,256,535,14,7,53,66,88,182,556,0,456,3123,11821,2,Sensitive Areas
TAMIL NADU,CHENNAI,2008,100,130,0,35,0,35,43,32,11,5,0,41,322,1545,269,1276,55,5,293,135,0,726,25,46,67,165,0,613,7478,11829,2,Sensitive Areas
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,7,37,0,37,80,39,41,13,0,67,1155,2792,1128,1664,65,101,1293,24,0,3137,24,118,27,746,0,409,1512,11831,2,Sensitive Areas
BIHAR,PATNA,2005,436,87,25,57,0,57,275,59,216,127,39,633,521,1356,1127,229,484,47,199,3,46,392,85,5,2,189,0,452,6380,11840,2,Sensitive Areas
KERALA,KOLLAM,2010,40,30,8,55,0,55,36,32,4,6,26,37,271,400,127,273,894,25,207,2,23,2142,4,364,10,581,0,4,6714,11879,2,Sensitive Areas
WEST BENGAL,NADIA,2012,146,357,21,174,0,174,433,374,59,29,51,34,21,1251,244,1007,128,132,338,21,22,2632,46,56,11,1860,0,285,3871,11919,2,Sensitive Areas
RAJASTHAN,ALWAR,2012,100,88,7,129,0,129,243,154,89,8,5,63,231,3220,2443,777,8,23,1213,9,22,2612,47,135,0,655,0,503,2620,11941,2,Sensitive Areas
WEST BENGAL,KOLKATA,2001,65,152,8,19,0,19,121,78,43,26,60,149,148,4040,1061,2979,275,271,863,54,0,1346,6,165,37,207,2,445,3511,11970,2,Sensitive Areas
